('impact', 'intern') 1
('intern', 'system') 1
('system', 'profoundli') 1
('profoundli', 'home') 1
('home', 'almost') 1
('almost', 'half') 1
('half', 'world') 1
("'s", 'popul') 1
('popul', 'sourc') 1
('sourc', 'much') 1
('much', 'world') 1
("'s", 'consum') 1
('consum', 'good') 1
('good', 'place') 1
('place', 'world') 1
("'s", 'ancient') 1
('ancient', 'endur') 1
('endur', 'civil') 1
('civil', 'emerg') 1
('emerg', 'asia') 1
('asia', 'indispens') 1
('indispens', 'topic') 1
('topic', 'investig') 1
('investig', 'student') 1
('student', 'intern') 1
('intern', 'affair') 1
('affair', 'thi') 1
('cours', 'provid') 1
('provid', 'introduct') 1
('introduct', 'modern') 1
('modern', 'asia') 1
('asia', 'attent') 1
('attent', 'paid') 1
('paid', 'histori') 1
('histori', 'polit') 1
('econom', 'vast') 1
('vast', 'region') 1
('region', 'impact') 1
('impact', 'polici') 1
('polici', 'challeng') 1
('challeng', 'us') 1
('us', 'asia') 1
('asia', 'today') 1
('today', 'no') 1
('no', 'prior') 1
('prior', 'knowledg') 1
('knowledg', 'asia') 1
('asia', 'assum') 1
('assum', 'student') 1
('student', 'come') 1
('come', 'academ') 1
('academ', 'field') 1
('field', 'while') 1
('while', 'polit') 1
('polit', 'import') 1
('import', 'understand') 1
('understand', 'asia') 1
('cours', 'draw') 1
('draw', 'insight') 1
('insight', 'mani') 1
('mani', 'field') 1
('field', 'includ') 1
('includ', 'philosophi') 1
('philosophi', 'social') 1
('social', 'polit') 1
('scienc', 'pop') 1
('pop', 'cultur') 1
('cultur', 'health') 1
('health', 'scienc') 1
('scienc', 'educ') 1
('educ', 'the') 1
('instructor', 'award-win') 1
('award-win', 'author') 1
('author', 'former') 1
('former', 'white') 1
('white', 'hous') 1
('hous', 'offici') 1
('offici', 'cabl') 1
('cabl', 'news') 1
('news', 'analyst') 1
('analyst', 'employ') 1
('employ', 'classic') 1
('classic', 'contemporari') 1
('contemporari', 'read') 1
('read', 'multimedia') 1
('multimedia', 'music') 1
('music', 'guest') 1
('guest', 'speaker') 1
('speaker', 'creat') 1
('creat', 'interact') 1
('interact', 'classroom') 1
('classroom', 'experi') 1
('experi', '[US-SE') 1
('[US-SE', 'Asian') 1
('Asian', 'Rel:') 1
('Rel:', 'Post') 1
('Post', '9/11') 1
('9/11', 'Wrld].') 1
('Wrld].', 'thi') 1
('thi', 'seminar') 1
('seminar', 'cours') 1
('examin', 'relationship') 1
('relationship', 'unit') 1
('state', 'southeast') 1
('asia', 'aftermath') 1
('aftermath', 'septemb') 1
('septemb', '11') 1
('11', '2001') 1
('2001', 'terrorist') 1
('terrorist', 'bomb') 1
('bomb', 'these') 1
('these', 'bomb') 1
('bomb', 'led') 1
('led', 'unit') 1
('state', 'pay') 1
('pay', 'attent') 1
('attent', 'southeast') 1
('asia', 'due') 1
('due', 'link') 1
('link', 'sever') 1
('sever', 'milit') 1
('milit', 'islam') 1
('islam', 'group') 1
('group', 'region') 1
('region', 'al') 1
('al', 'qaeda') 1
('qaeda', 'network') 1
('network', 'sinc') 1
('sinc', '2013') 1
('2013', 'terrorist') 1
('terrorist', 'threat') 1
('threat', 'increas') 1
('increas', 'rise') 1
('rise', 'islam') 1
('islam', 'state') 1
('state', 'is') 1
('is', 'remain') 1
('remain', 'threat') 1
('threat', 'even') 1
('even', 'though') 1
('though', 'lost') 1
('lost', 'much') 1
('much', 'territori') 1
('territori', 'the') 1
('cours', 'cover') 1
('cover', 'us') 1
('us', 'relat') 1
('relat', 'polit') 1
('econom', 'socio-cultur') 1
('socio-cultur', 'level') 1
('level', 'eleven') 1
('eleven', 'countri') 1
('countri', 'southeast') 1
('asia', 'brunei') 1
('brunei', 'burma') 1
('burma', 'myanmar') 1
('myanmar', 'cambodia') 1
('cambodia', 'east') 1
('east', 'timor') 1
('timor', 'indonesia') 1
('indonesia', 'lao') 1
('lao', 'malaysia') 1
('malaysia', 'philippin') 1
('philippin', 'singapor') 1
('singapor', 'thailand') 1
('thailand', 'vietnam') 1
('vietnam', 'the') 1
('the', 'unit') 1
('state', 'especi') 1
('especi', 'concern') 1
('concern', 'indonesia') 1
('indonesia', 'largest') 1
('largest', 'muslim') 1
